"","x"
"402","1"
"403","1"
"404","1"
"405","0"
"406","1"
"407","0"
"408","0"
"409","1"
"410","1"
"411","0"
"412","2"
"413","0"
"414","0"
"415","1"
"416","2"
"417","1"
"418","1"
"419","1"
"420","1"
"421","2"
"422","0"
"423","1"
"424","0"
"425","0"
"426","0"
"427","0"
"428","1"
"429","1"
"430","0"
"431","1"
"432","0"
"433","0"
"434","0"
"435","2"
"436","0"
"437","1"
"438","2"
"439","2"
"440","0"
"441","1"
"442","2"
"443","2"
"444","1"
"445","1"
"446","0"
"447","1"
"448","0"
"449","1"
"450","0"
"451","0"
"452","2"
"453","0"
"454","0"
"455","1"
"456","0"
"457","0"
"458","0"
"459","0"
"460","1"
"461","1"
"462","0"
"463","1"
"464","1"
"465","1"
"466","0"
"467","0"
"468","0"
"469","1"
"470","0"
"471","0"
"472","0"
"473","0"
"474","1"
"475","1"
"476","1"
"477","0"
"478","1"
"479","1"
"480","2"
"481","1"
"482","0"
"483","1"
"484","1"
"485","1"
"486","0"
"487","0"
"488","1"
"489","1"
"490","1"
"491","0"
"492","0"
"493","0"
"494","0"
"495","1"
"496","1"
"497","1"
"498","0"
"499","0"
"500","1"
"501","1"
"502","1"
"503","0"
"504","0"
"505","0"
"506","1"
"507","0"
"508","1"
"509","0"
"510","0"
"511","0"
"512","1"
"513","0"
"514","0"
"515","1"
"516","0"
"517","1"
"518","0"
"519","0"
"520","2"
"521","0"
"522","1"
"523","0"
"524","0"
"525","0"
"526","1"
"527","0"
"528","1"
"529","0"
"530","0"
"531","1"
"532","0"
"533","1"
"534","1"
"535","1"
"536","0"
"537","1"
"538","1"
"539","1"
"540","0"
"541","1"
"542","0"
"543","0"
"544","1"
"545","0"
"546","1"
"547","1"
"548","1"
"549","1"
"550","0"
"551","0"
"552","1"
"553","0"
"554","1"
"555","1"
"556","0"
"557","1"
"558","1"
"559","1"
"560","1"
"561","1"
"562","1"
"563","0"
"564","2"
"565","0"
"566","0"
"567","1"
"568","1"
"569","1"
"570","0"
"571","0"
"572","0"
"573","1"
"574","0"
"575","0"
"576","0"
"577","0"
"578","1"
"579","0"
"580","0"
"581","1"
"582","1"
"583","0"
"584","1"
"585","1"
"586","0"
"587","1"
"588","0"
"589","1"
"590","1"
"591","0"
"592","1"
"593","1"
"594","1"
"595","0"
"596","0"
"597","0"
"598","0"
"599","0"
"600","1"
"601","0"
"602","1"
"603","1"
"604","2"
"605","1"
"606","0"
"607","1"
"608","1"
"609","0"
"610","0"
"611","0"
"612","1"
"613","1"
"614","1"
"615","0"
"616","2"
"617","0"
"618","1"
"619","1"
"620","1"
"621","1"
"622","1"
"623","1"
"624","1"
"625","0"
"626","0"
"627","1"
"628","0"
"629","1"
"630","0"
"631","0"
"632","0"
"633","2"
"634","0"
"635","2"
"636","0"
"637","1"
"638","1"
"639","0"
"640","1"
"641","1"
"642","1"
"643","0"
"644","0"
"645","0"
"646","1"
"647","1"
"648","0"
"649","0"
"650","0"
"651","2"
"652","0"
"653","0"
"654","0"
"655","1"
"656","0"
"657","0"
"658","0"
"659","0"
"660","1"
"661","1"
"662","2"
"663","1"
"664","2"
"665","0"
"666","0"
"667","0"
"668","0"
"669","1"
"670","0"
"671","2"
"672","0"
"673","0"
"674","0"
"675","1"
"676","0"
"677","0"
"678","1"
"679","0"
"680","1"
"681","1"
"682","1"
"683","0"
"684","0"
"685","0"
"686","0"
"687","1"
"688","1"
"689","1"
"690","0"
"691","1"
"692","0"
"693","1"
"694","1"
"695","0"
"696","0"
"697","1"
"698","0"
"699","0"
"700","0"
"701","0"
"702","0"
"703","1"
"704","0"
"705","1"
"706","0"
"707","1"
"708","0"
"709","1"
"710","0"
"711","1"
"712","1"
"713","1"
"714","1"
"715","1"
"716","1"
"717","1"
"718","0"
"719","1"
"720","0"
"721","0"
"722","0"
"723","1"
"724","0"
"725","0"
"726","0"
"727","0"
"728","0"
"729","0"
"730","0"
"731","0"
"732","2"
"733","0"
"734","1"
"735","0"
"736","1"
"737","1"
"738","0"
"739","0"
"740","0"
"741","2"
"742","0"
"743","1"
"744","0"
"745","0"
"746","0"
"747","1"
"748","0"
"749","1"
"750","1"
"751","0"
"752","2"
"753","2"
"754","0"
"755","1"
"756","1"
"757","0"
"758","0"
"759","1"
"760","1"
"761","1"
"762","1"
"763","1"
"764","1"
"765","2"
"766","1"
"767","1"
"768","0"
"769","2"
"770","0"
"771","1"
"772","0"
"773","0"
"774","0"
"775","1"
"776","1"
"777","0"
"778","0"
"779","0"
"780","0"
"781","0"
"782","0"
"783","1"
"784","1"
"785","1"
"786","0"
"787","1"
"788","2"
"789","1"
"790","0"
"791","0"
"792","1"
"793","1"
"794","0"
"795","0"
"796","0"
"797","1"
"798","0"
"799","0"
"800","1"
"801","1"
"802","0"
"803","1"
"804","0"
"805","0"
"806","0"
"807","0"
"808","1"
"809","1"
"810","0"
"811","0"
"812","0"
"813","0"
"814","0"
"815","2"
"816","1"
"817","0"
"818","0"
"819","1"
"820","1"
"821","1"
"822","0"
"823","1"
"824","0"
"825","1"
"826","1"
"827","0"
"828","0"
"829","1"
"830","0"
"831","0"
"832","0"
"833","1"
"834","0"
"835","0"
"836","1"
"837","0"
"838","0"
"839","0"
"840","0"
"841","0"
"842","0"
"843","0"
"844","1"
"845","1"
"846","1"
"847","0"
"848","1"
"849","0"
"850","0"
"851","0"
"852","0"
"853","2"
"854","0"
"855","0"
"856","0"
"857","1"
"858","0"
"859","0"
"860","0"
"861","1"
"862","0"
"863","1"
"864","1"
"865","2"
"866","0"
"867","1"
"868","0"
"869","0"
"870","0"
"871","1"
"872","1"
"873","1"
"874","0"
"875","0"
"876","0"
"877","0"
"878","1"
"879","1"
"880","0"
"881","0"
"882","0"
"883","0"
"884","0"
"885","2"
"886","1"
"887","2"
"888","1"
"889","0"
"890","1"
"891","0"
"892","1"
"893","1"
"894","2"
"895","1"
"896","1"
"897","1"
"898","1"
"899","1"
"900","0"
"901","0"
"902","1"
"903","0"
"904","0"
"905","0"
"906","1"
"907","0"
"908","0"
"909","0"
"910","0"
"911","0"
"912","0"
"913","1"
"914","1"
"915","0"
"916","1"
"917","1"
"918","1"
"919","0"
"920","0"
"921","0"
"922","1"
"923","0"
"924","1"
"925","1"
"926","1"
"927","0"
"928","2"
"929","1"
"930","0"
"931","0"
"932","1"
"933","0"
"934","0"
"935","0"
"936","1"
"937","0"
"938","1"
"939","1"
"940","1"
"941","1"
"942","0"
"943","0"
"944","1"
"945","0"
"946","2"
"947","1"
"948","1"
"949","1"
"950","1"
"951","0"
"952","1"
"953","1"
"954","0"
"955","1"
"956","0"
"957","0"
"958","0"
"959","1"
"960","1"
"961","0"
"962","0"
"963","1"
"964","1"
"965","1"
"966","2"
"967","0"
"968","0"
"969","0"
"970","1"
"971","0"
"972","1"
"973","1"
"974","1"
"975","1"
"976","0"
"977","0"
"978","1"
"979","1"
"980","0"
"981","1"
"982","0"
"983","0"
"984","1"
"985","0"
"986","0"
"987","0"
"988","1"
"989","1"
"990","1"
"991","0"
"992","0"
"993","1"
"994","0"
"995","1"
"996","0"
"997","1"
"998","1"
"999","0"
"1000","1"
"1001","1"
"1002","1"
"1003","1"
"1004","1"
"1005","1"
"1006","0"
"1007","0"
"1008","2"
"1009","0"
"1010","1"
"1011","0"
"1012","0"
"1013","2"
"1014","1"
"1015","1"
"1016","0"
"1017","0"
"1018","0"
"1019","1"
"1020","2"
"1021","1"
"1022","1"
"1023","1"
"1024","1"
"1025","0"
"1026","0"
"1027","0"
"1028","1"
"1029","0"
"1030","1"
"1031","1"
"1032","1"
"1033","0"
"1034","1"
"1035","1"
"1036","0"
"1037","0"
"1038","1"
"1039","1"
"1040","1"
"1041","0"
"1042","0"
"1043","1"
"1044","2"
"1045","0"
"1046","0"
"1047","0"
"1048","0"
"1049","1"
"1050","0"
"1051","1"
"1052","1"
"1053","1"
"1054","0"
"1055","1"
"1056","1"
"1057","0"
"1058","0"
"1059","1"
"1060","1"
"1061","0"
"1062","1"
"1063","1"
"1064","0"
"1065","0"
"1066","0"
"1067","1"
"1068","0"
"1069","1"
"1070","1"
"1071","1"
"1072","1"
"1073","0"
"1074","0"
"1075","0"
"1076","0"
"1077","1"
"1078","0"
"1079","1"
"1080","0"
"1081","1"
"1082","0"
"1083","0"
"1084","0"
"1085","0"
"1086","0"
"1087","0"
"1088","1"
"1089","1"
"1090","1"
"1091","1"
"1092","1"
"1093","1"
"1094","0"
"1095","0"
"1096","0"
"1097","0"
"1098","0"
"1099","1"
"1100","0"
"1101","0"
"1102","2"
"1103","0"
"1104","0"
"1105","1"
"1106","0"
"1107","0"
"1108","1"
"1109","0"
"1110","1"
"1111","1"
"1112","0"
"1113","1"
"1114","1"
"1115","0"
"1116","0"
"1117","1"
"1118","1"
"1119","0"
"1120","0"
"1121","0"
"1122","0"
"1123","0"
"1124","0"
"1125","0"
"1126","0"
"1127","0"
"1128","1"
"1129","1"
"1130","0"
"1131","0"
"1132","0"
"1133","0"
"1134","1"
"1135","1"
"1136","0"
"1137","0"
"1138","1"
"1139","1"
"1140","1"
"1141","1"
"1142","0"
"1143","0"
"1144","2"
"1145","1"
"1146","0"
"1147","0"
"1148","1"
"1149","2"
"1150","0"
"1151","1"
"1152","0"
"1153","1"
"1154","1"
"1155","1"
"1156","0"
"1157","0"
"1158","1"
"1159","0"
"1160","0"
"1161","1"
"1162","1"
"1163","2"
"1164","0"
"1165","0"
"1166","1"
"1167","0"
"1168","1"
"1169","1"
"1170","1"
"1171","0"
"1172","0"
"1173","1"
"1174","0"
"1175","1"
"1176","0"
"1177","0"
"1178","0"
"1179","0"
"1180","0"
"1181","1"
"1182","1"
"1183","1"
"1184","0"
"1185","0"
"1186","0"
"1187","1"
"1188","1"
"1189","0"
"1190","2"
"1191","1"
"1192","1"
"1193","0"
"1194","2"
"1195","0"
"1196","1"
"1197","0"
"1198","1"
"1199","1"
"1200","2"
"1201","0"
"1202","0"
"1203","2"
"1204","0"
"1205","1"
"1206","0"
"1207","0"
"1208","1"
"1209","0"
"1210","1"
"1211","0"
"1212","0"
"1213","0"
"1214","1"
"1215","1"
"1216","1"
"1217","1"
"1218","1"
"1219","0"
"1220","2"
"1221","0"
"1222","0"
"1223","0"
"1224","0"
"1225","1"
"1226","1"
"1227","0"
"1228","0"
"1229","0"
"1230","0"
"1231","0"
"1232","1"
"1233","0"
"1234","0"
"1235","1"
"1236","1"
"1237","1"
"1238","0"
"1239","1"
"1240","1"
"1241","1"
"1242","0"
"1243","1"
"1244","0"
"1245","2"
"1246","1"
"1247","1"
"1248","0"
"1249","0"
"1250","1"
"1251","0"
"1252","1"
"1253","1"
"1254","1"
"1255","0"
"1256","0"
"1257","1"
"1258","0"
"1259","0"
"1260","0"
"1261","0"
"1262","0"
"1263","0"
"1264","1"
"1265","2"
"1266","1"
"1267","0"
"1268","0"
"1269","0"
"1270","1"
"1271","0"
"1272","0"
"1273","1"
"1274","1"
"1275","1"
"1276","1"
"1277","1"
"1278","1"
"1279","0"
"1280","0"
"1281","0"
"1282","1"
"1283","1"
"1284","1"
"1285","0"
"1286","0"
"1287","1"
"1288","1"
"1289","0"
"1290","1"
"1291","0"
"1292","0"
"1293","2"
"1294","1"
"1295","1"
"1296","0"
"1297","0"
"1298","1"
"1299","0"
"1300","0"
"1301","1"
"1302","0"
"1303","0"
"1304","0"
"1305","0"
"1306","1"
"1307","0"
"1308","1"
"1309","0"
"1310","1"
"1311","0"
"1312","1"
"1313","0"
"1314","1"
"1315","0"
"1316","0"
"1317","0"
"1318","0"
"1319","1"
"1320","1"
"1321","1"
"1322","0"
"1323","0"
"1324","0"
"1325","1"
"1326","1"
"1327","0"
"1328","1"
"1329","0"
"1330","1"
"1331","0"
"1332","1"
"1333","1"
"1334","0"
"1335","0"
"1336","0"
"1337","0"
"1338","1"
"1339","0"
"1340","1"
"1341","0"
"1342","0"
"1343","0"
"1344","1"
"1345","0"
"1346","1"
"1347","1"
"1348","0"
"1349","1"
"1350","0"
"1351","1"
"1352","0"
"1353","0"
"1354","0"
"1355","0"
"1356","0"
"1357","1"
"1358","0"
"1359","1"
"1360","1"
"1361","1"
"1362","0"
"1363","0"
"1364","0"
"1365","1"
"1366","0"
"1367","1"
"1368","1"
"1369","0"
"1370","1"
"1371","2"
"1372","0"
"1373","0"
"1374","1"
"1375","0"
"1376","0"
"1377","1"
"1378","0"
"1379","0"
"1380","1"
"1381","2"
"1382","0"
"1383","1"
"1384","1"
"1385","1"
"1386","2"
"1387","0"
"1388","0"
"1389","1"
"1390","0"
"1391","0"
"1392","0"
"1393","1"
"1394","1"
"1395","0"
"1396","2"
"1397","0"
"1398","1"
"1399","1"
"1400","0"
"1401","1"
"1402","2"
"1403","0"
"1404","1"
"1405","0"
"1406","0"
"1407","0"
"1408","1"
"1409","0"
"1410","1"
"1411","1"
"1412","0"
"1413","1"
"1414","0"
"1415","0"
"1416","0"
"1417","1"
"1418","1"
"1419","1"
"1420","1"
"1421","1"
"1422","1"
"1423","0"
"1424","0"
"1425","0"
"1426","1"
"1427","1"
"1428","1"
"1429","0"
"1430","1"
"1431","1"
"1432","1"
"1433","0"
"1434","1"
"1435","1"
"1436","0"
"1437","0"
"1438","0"
"1439","1"
"1440","0"
"1441","1"
"1442","0"
"1443","0"
"1444","1"
"1445","0"
"1446","2"
"1447","0"
"1448","0"
"1449","1"
"1450","2"
"1451","2"
"1452","0"
"1453","0"
"1454","0"
"1455","0"
"1456","0"
"1457","0"
"1458","1"
"1459","1"
"1460","0"
"1461","1"
"1462","0"
"1463","0"
"1464","0"
"1465","0"
"1466","0"
"1467","0"
"1468","1"
"1469","0"
"1470","0"
"1471","0"
"1472","1"
"1473","2"
"1474","0"
"1475","1"
"1476","1"
"1477","0"
"1478","0"
"1479","1"
"1480","0"
"1481","0"
"1482","2"
"1483","0"
"1484","0"
"1485","1"
"1486","0"
"1487","1"
"1488","1"
"1489","1"
"1490","1"
"1491","0"
"1492","0"
"1493","1"
"1494","1"
"1495","1"
"1496","0"
"1497","0"
"1498","0"
"1499","0"
"1500","0"
"1501","0"
"1502","0"
"1503","1"
"1504","0"
"1505","1"
"1506","0"
"1507","0"
"1508","0"
"1509","1"
"1510","1"
"1511","1"
"1512","0"
"1513","1"
"1514","2"
"1515","0"
"1516","1"
"1517","1"
"1518","1"
"1519","0"
"1520","0"
"1521","0"
"1522","0"
"1523","0"
"1524","1"
"1525","1"
"1526","0"
"1527","0"
"1528","1"
"1529","1"
"1530","0"
"1531","0"
"1532","1"
"1533","0"
"1534","1"
"1535","1"
"1536","0"
"1537","0"
"1538","2"
"1539","0"
"1540","0"
"1541","1"
"1542","2"
"1543","0"
"1544","0"
"1545","0"
"1546","1"
"1547","0"
"1548","0"
"1549","1"
"1550","0"
"1551","2"
"1552","0"
"1553","1"
"1554","0"
"1555","1"
"1556","1"
"1557","2"
"1558","1"
"1559","2"
"1560","1"
"1561","0"
"1562","1"
"1563","1"
"1564","0"
"1565","0"
"1566","1"
"1567","1"
"1568","0"
"1569","2"
"1570","1"
"1571","0"
"1572","1"
"1573","1"
"1574","1"
"1575","1"
"1576","1"
"1577","1"
"1578","0"
"1579","1"
"1580","1"
"1581","1"
"1582","0"
"1583","0"
"1584","1"
"1585","0"
"1586","1"
"1587","0"
"1588","1"
"1589","0"
"1590","0"
"1591","0"
"1592","1"
"1593","2"
"1594","1"
"1595","0"
"1596","1"
"1597","1"
"1598","1"
"1599","1"
"1600","1"
"1601","0"
"1602","0"
"1603","0"
"1604","0"
"1605","0"
"1606","2"
"1607","2"
"1608","1"
"1609","1"
"1610","0"
"1611","0"
"1612","1"
"1613","0"
"1614","0"
"1615","1"
"1616","0"
"1617","1"
"1618","2"
"1619","0"
"1620","1"
"1621","2"
"1622","0"
"1623","2"
"1624","1"
"1625","1"
"1626","1"
"1627","0"
"1628","0"
"1629","1"
"1630","0"
"1631","0"
"1632","1"
"1633","0"
"1634","0"
"1635","1"
"1636","0"
"1637","0"
"1638","0"
"1639","0"
"1640","0"
"1641","0"
"1642","2"
"1643","1"
"1644","0"
"1645","2"
"1646","0"
"1647","0"
"1648","0"
"1649","2"
"1650","1"
"1651","1"
"1652","1"
"1653","1"
"1654","0"
"1655","0"
"1656","0"
"1657","1"
"1658","0"
"1659","1"
"1660","0"
"1661","0"
"1662","0"
"1663","0"
"1664","0"
"1665","0"
"1666","0"
"1667","0"
"1668","0"
"1669","1"
"1670","1"
"1671","0"
"1672","1"
"1673","1"
"1674","0"
"1675","1"
"1676","0"
"1677","0"
"1678","0"
"1679","1"
"1680","0"
"1681","1"
"1682","1"
"1683","1"
"1684","0"
"1685","1"
"1686","0"
"1687","1"
"1688","0"
"1689","0"
"1690","0"
"1691","1"
"1692","1"
"1693","0"
"1694","0"
"1695","0"
"1696","0"
"1697","0"
"1698","0"
"1699","1"
"1700","1"
"1701","1"
"1702","0"
"1703","0"
"1704","0"
"1705","1"
"1706","1"
"1707","1"
"1708","2"
"1709","1"
"1710","1"
"1711","1"
"1712","1"
"1713","2"
"1714","1"
"1715","1"
"1716","1"
"1717","1"
"1718","0"
"1719","0"
"1720","0"
"1721","1"
"1722","0"
"1723","1"
"1724","0"
"1725","0"
"1726","1"
"1727","0"
"1728","0"
"1729","1"
"1730","1"
"1731","0"
"1732","0"
"1733","0"
"1734","1"
"1735","1"
"1736","0"
"1737","0"
"1738","1"
"1739","0"
"1740","0"
"1741","1"
"1742","1"
"1743","0"
"1744","1"
"1745","0"
"1746","1"
"1747","1"
"1748","0"
"1749","1"
"1750","0"
"1751","1"
"1752","1"
"1753","1"
"1754","1"
"1755","2"
"1756","0"
"1757","1"
"1758","0"
"1759","0"
"1760","1"
"1761","1"
"1762","1"
"1763","1"
"1764","1"
"1765","0"
"1766","0"
"1767","1"
"1768","2"
"1769","1"
"1770","0"
"1771","0"
"1772","1"
"1773","1"
"1774","1"
"1775","1"
"1776","0"
"1777","0"
"1778","1"
"1779","0"
"1780","0"
"1781","0"
"1782","1"
"1783","0"
"1784","0"
"1785","1"
"1786","2"
"1787","1"
"1788","0"
"1789","1"
"1790","1"
"1791","1"
"1792","1"
"1793","1"
"1794","0"
"1795","0"
"1796","0"
"1797","0"
"1798","1"
"1799","0"
"1800","0"
"1801","2"
"1802","1"
"1803","0"
"1804","0"
"1805","1"
"1806","1"
"1807","0"
"1808","0"
"1809","1"
"1810","0"
"1811","0"
"1812","0"
"1813","0"
"1814","1"
"1815","2"
"1816","0"
"1817","0"
"1818","0"
"1819","0"
"1820","0"
"1821","0"
"1822","1"
"1823","0"
"1824","1"
"1825","0"
"1826","1"
"1827","0"
"1828","0"
"1829","1"
"1830","0"
"1831","1"
"1832","1"
"1833","0"
"1834","1"
"1835","2"
"1836","1"
"1837","2"
"1838","1"
"1839","1"
"1840","1"
"1841","0"
"1842","1"
"1843","1"
"1844","0"
"1845","1"
"1846","0"
"1847","0"
"1848","0"
"1849","0"
"1850","0"
"1851","1"
"1852","0"
"1853","0"
"1854","1"
"1855","0"
"1856","0"
"1857","1"
"1858","1"
"1859","1"
"1860","0"
"1861","1"
"1862","1"
"1863","0"
"1864","0"
"1865","0"
"1866","0"
"1867","0"
"1868","0"
"1869","1"
"1870","0"
"1871","0"
"1872","0"
"1873","2"
"1874","0"
"1875","0"
"1876","0"
"1877","0"
"1878","2"
"1879","2"
"1880","0"
"1881","0"
"1882","1"
"1883","0"
"1884","1"
"1885","0"
"1886","1"
"1887","0"
"1888","1"
"1889","1"
"1890","0"
"1891","1"
"1892","1"
"1893","1"
"1894","0"
"1895","0"
"1896","0"
"1897","0"
"1898","0"
"1899","0"
"1900","1"
"1901","2"
"1902","0"
"1903","1"
"1904","0"
"1905","1"
"1906","0"
"1907","0"
"1908","0"
"1909","0"
"1910","2"
"1911","1"
"1912","1"
"1913","0"
"1914","1"
"1915","0"
"1916","1"
"1917","0"
"1918","2"
"1919","0"
"1920","0"
"1921","0"
"1922","1"
"1923","1"
"1924","0"
"1925","1"
"1926","1"
"1927","0"
"1928","2"
"1929","0"
"1930","0"
"1931","1"
"1932","0"
"1933","0"
"1934","0"
"1935","0"
"1936","0"
"1937","1"
"1938","1"
"1939","0"
"1940","0"
"1941","0"
"1942","0"
"1943","1"
"1944","1"
"1945","0"
"1946","1"
"1947","1"
"1948","0"
"1949","1"
"1950","0"
"1951","1"
"1952","1"
"1953","0"
"1954","0"
"1955","1"
"1956","1"
"1957","1"
"1958","0"
"1959","1"
"1960","1"
"1961","0"
"1962","1"
"1963","1"
"1964","0"
"1965","0"
"1966","1"
"1967","1"
"1968","2"
"1969","0"
"1970","0"
"1971","1"
"1972","0"
"1973","0"
"1974","0"
"1975","2"
"1976","0"
"1977","1"
"1978","0"
"1979","0"
"1980","1"
"1981","1"
"1982","0"
"1983","1"
"1984","0"
"1985","0"
"1986","1"
"1987","2"
"1988","0"
"1989","0"
"1990","0"
"1991","0"
"1992","0"
"1993","1"
"1994","1"
"1995","1"
"1996","0"
"1997","1"
"1998","1"
"1999","0"
"2000","0"
"2001","2"
"2002","0"
"2003","0"
"2004","0"
"2005","0"
"2006","0"
"2007","1"
"2008","1"
"2009","1"
"2010","0"
"2011","1"
"2012","2"
"2013","1"
"2014","0"
"2015","1"
"2016","0"
"2017","0"
"2018","1"
"2019","1"
"2020","1"
"2021","1"
"2022","0"
"2023","1"
"2024","0"
"2025","0"
"2026","0"
"2027","1"
"2028","0"
"2029","1"
"2030","0"
"2031","0"
"2032","1"
"2033","0"
"2034","0"
"2035","0"
"2036","1"
"2037","0"
"2038","1"
"2039","0"
"2040","0"
"2041","0"
"2042","1"
"2043","0"
"2044","1"
"2045","1"
"2046","0"
"2047","0"
"2048","0"
"2049","0"
"2050","2"
"2051","0"
"2052","1"
"2053","1"
"2054","1"
"2055","2"
"2056","1"
"2057","0"
"2058","0"
"2059","1"
"2060","0"
"2061","1"
"2062","0"
"2063","0"
"2064","0"
"2065","0"
"2066","1"
"2067","0"
"2068","0"
"2069","0"
"2070","1"
"2071","0"
"2072","1"
"2073","1"
"2074","0"
"2075","1"
"2076","1"
"2077","1"
"2078","1"
"2079","1"
"2080","0"
"2081","1"
"2082","0"
"2083","1"
"2084","1"
"2085","0"
"2086","0"
"2087","2"
"2088","1"
"2089","0"
"2090","1"
"2091","1"
"2092","0"
"2093","1"
"2094","0"
"2095","1"
"2096","1"
"2097","1"
"2098","0"
"2099","1"
"2100","1"
"2101","0"
"2102","0"
"2103","1"
"2104","0"
"2105","0"
"2106","0"
"2107","0"
"2108","1"
"2109","1"
"2110","1"
"2111","0"
"2112","1"
"2113","1"
"2114","0"
"2115","0"
"2116","1"
"2117","1"
"2118","1"
"2119","1"
"2120","0"
"2121","1"
"2122","1"
"2123","0"
"2124","0"
"2125","0"
"2126","1"
"2127","0"
"2128","1"
"2129","0"
"2130","0"
"2131","1"
"2132","0"
"2133","0"
"2134","2"
"2135","1"
"2136","1"
"2137","0"
"2138","0"
"2139","0"
"2140","0"
"2141","1"
